cueCondition,lineCondition,trial_num
cued,center,1
cued,center,2
uncued,center,3
cued,congruent,4
cued,center,5
cued,center,6
cued,congruent,7
uncued,center,8
uncued,congruent,9
uncued,center,10
uncued,center,11
uncued,congruent,12
cued,center,13
cued,center,14
uncued,center,15
cued,center,16
cued,center,17
uncued,center,18
uncued,center,19
uncued,incongruent,20
uncued,incongruent,21
cued,incongruent,22
uncued,incongruent,23
uncued,center,24
uncued,center,25
cued,center,26
uncued,center,27
cued,incongruent,28
uncued,center,29
uncued,incongruent,30
cued,congruent,31
cued,center,32
cued,center,33
cued,center,34
uncued,center,35
cued,center,36
uncued,center,37
cued,center,38
uncued,center,39
uncued,congruent,40
uncued,incongruent,41
cued,incongruent,42
uncued,incongruent,43
cued,center,44
uncued,congruent,45
cued,center,46
cued,center,47
cued,center,48
cued,congruent,49
uncued,incongruent,50
uncued,center,51
cued,center,52
cued,congruent,53
cued,center,54
uncued,congruent,55
uncued,incongruent,56
cued,center,57
cued,center,58
cued,incongruent,59
cued,center,60
cued,incongruent,61
cued,congruent,62
cued,congruent,63
cued,center,64
uncued,center,65
uncued,congruent,66
uncued,center,67
cued,center,68
uncued,center,69
cued,incongruent,70
cued,congruent,71
uncued,center,72
cued,center,73
uncued,center,74
cued,center,75
uncued,center,76
cued,incongruent,77
uncued,center,78
uncued,center,79
uncued,center,80
cued,center,81
cued,incongruent,82
cued,incongruent,83
uncued,center,84
uncued,center,85
cued,congruent,86
cued,center,87
uncued,center,88
uncued,congruent,89
cued,center,90
uncued,center,91
uncued,congruent,92
uncued,congruent,93
cued,incongruent,94
uncued,incongruent,95
uncued,incongruent,96
uncued,center,97
cued,congruent,98
uncued,congruent,99
uncued,center,100
